epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5578,2.31401,4.24847,1.23925,0.0372,0.72656,0.03519,0.01719,1.74656,3.98142,1.03978,0.00013336,0.00013336,0.00013336
2,41.4511,1.64597,2.30512,0.97749,0.04196,0.97656,0.75355,0.38107,1.39969,3.25311,0.9337,0.000280584,0.000280584,0.000280584
3,54.9518,1.52721,1.26268,0.98815,0.04515,1,0.87823,0.46537,1.52079,2.90219,0.94635,0.000424838,0.000424838,0.000424838
4,69.6085,1.44018,1.08832,0.99056,0.04893,1,0.87167,0.45581,1.45218,2.81292,0.95383,0.000566122,0.000566122,0.000566122
5,83.7731,1.36969,0.96929,0.94934,0.05257,0.99219,0.93407,0.49295,1.49626,2.70629,0.94256,0.000704434,0.000704434,0.000704434
6,98.7798,1.36601,0.92945,0.96218,0.98514,0.5181,0.98451,0.54637,1.30162,2.09614,0.90203,0.000839776,0.000839776,0.000839776
7,112.468,1.31524,0.87354,0.9288,0.98161,0.83404,0.98133,0.61615,1.25575,1.76587,0.90142,0.000972148,0.000972148,0.000972148
8,126.253,1.32414,0.86956,0.95926,0.95029,0.9375,0.98965,0.65823,1.16899,1.63898,0.90678,0.00110155,0.00110155,0.00110155
9,141.722,1.37563,0.85832,0.94647,1,0.89747,0.995,0.62049,1.2792,1.64726,0.9132,0.00122798,0.00122798,0.00122798
10,157.1,1.29278,0.8204,0.93614,1,0.97806,0.995,0.61922,1.18598,1.43127,0.89301,0.00135144,0.00135144,0.00135144
11,170.977,1.27434,0.76645,0.94075,0.99996,1,0.995,0.59989,1.29697,1.2269,0.92081,0.00147193,0.00147193,0.00147193
12,185.073,1.30356,0.78047,0.95315,0.99892,1,0.995,0.64173,1.21994,1.00109,0.92285,0.00148546,0.00148546,0.00148546
13,199.411,1.31893,0.76211,0.94855,0.99907,1,0.995,0.64014,1.2392,0.94266,0.94775,0.00146896,0.00146896,0.00146896
14,213.755,1.30975,0.74425,0.93952,0.99766,1,0.995,0.65414,1.18913,1.03534,0.91547,0.00145246,0.00145246,0.00145246
15,227.853,1.245,0.71746,0.92756,0.9987,1,0.995,0.67972,1.15107,0.89868,0.89986,0.00143595,0.00143595,0.00143595
16,242.02,1.26417,0.75155,0.92591,1,0.99953,0.995,0.59319,1.39614,0.87535,0.93903,0.00141945,0.00141945,0.00141945
17,256.033,1.28153,0.72328,0.92635,1,0.99977,0.995,0.6512,1.21489,0.77971,0.91587,0.00140295,0.00140295,0.00140295
18,270.952,1.21671,0.69235,0.92314,0.9996,1,0.995,0.68302,1.16853,0.68257,0.90816,0.00138644,0.00138644,0.00138644
19,285.097,1.23964,0.70714,0.93351,0.93968,1,0.98946,0.6678,1.18427,0.81121,0.89519,0.00136994,0.00136994,0.00136994
20,298.9,1.21992,0.69237,0.93306,0.99929,1,0.995,0.6952,1.09318,0.66703,0.88882,0.00135344,0.00135344,0.00135344
21,312.793,1.23754,0.69378,0.94331,0.99202,1,0.995,0.68886,1.11454,0.80386,0.88939,0.00133693,0.00133693,0.00133693
22,326.731,1.17844,0.66579,0.90001,0.99622,0.99219,0.995,0.67379,1.13453,0.66902,0.89626,0.00132043,0.00132043,0.00132043
23,340.593,1.23828,0.67526,0.91812,0.99865,1,0.995,0.66558,1.13366,0.66875,0.91456,0.00130393,0.00130393,0.00130393
24,354.394,1.1789,0.653,0.91851,0.99851,1,0.995,0.68127,1.12649,0.63371,0.8968,0.00128742,0.00128742,0.00128742
25,368.366,1.18307,0.63728,0.92057,0.99931,1,0.995,0.65887,1.17654,0.62497,0.90389,0.00127092,0.00127092,0.00127092
26,382.211,1.20707,0.64831,0.9299,0.99913,1,0.995,0.65877,1.22343,0.63981,0.90545,0.00125442,0.00125442,0.00125442
27,396.075,1.15021,0.63117,0.91293,0.9991,1,0.995,0.67744,1.14387,0.62466,0.88792,0.00123791,0.00123791,0.00123791
28,409.944,1.17721,0.61915,0.91775,0.99927,1,0.995,0.68604,1.11909,0.60114,0.89241,0.00122141,0.00122141,0.00122141
29,423.765,1.16167,0.6093,0.91257,0.99935,1,0.995,0.70942,1.03958,0.55978,0.87523,0.00120491,0.00120491,0.00120491
30,437.592,1.15565,0.58735,0.90489,0.99941,1,0.995,0.68456,1.10065,0.55893,0.88417,0.0011884,0.0011884,0.0011884
31,451.766,1.16057,0.59757,0.90273,0.99931,1,0.995,0.65614,1.08769,0.60082,0.87794,0.0011719,0.0011719,0.0011719
32,465.658,1.18821,0.59773,0.90175,0.99925,1,0.995,0.71616,1.02958,0.56236,0.87205,0.0011554,0.0011554,0.0011554
33,479.434,1.116,0.5873,0.91047,0.99934,1,0.995,0.68983,1.0764,0.55735,0.87994,0.00113889,0.00113889,0.00113889
34,493.168,1.13552,0.59658,0.91308,0.99931,1,0.995,0.67641,1.10122,0.5515,0.88242,0.00112239,0.00112239,0.00112239
35,507.089,1.17219,0.5848,0.91193,0.99941,1,0.995,0.63021,1.25213,0.60967,0.91526,0.00110589,0.00110589,0.00110589
36,520.951,1.20953,0.58217,0.91117,0.99898,1,0.995,0.64466,1.24032,0.58359,0.90635,0.00108938,0.00108938,0.00108938
