epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7369,1.70531,3.36084,1.12793,0.04191,0.99219,0.12876,0.07794,1.38451,3.42703,0.90581,0.00025005,0.00025005,0.00025005
2,47.2015,1.3672,1.34789,0.99403,0.05059,1,0.10878,0.06927,1.34095,3.09289,0.92625,0.000511654,0.000511654,0.000511654
3,70.6165,1.2909,1.00307,0.97652,0.04323,0.94531,0.90971,0.53394,1.31349,2.95791,0.9174,0.000767977,0.000767977,0.000767977
4,95.109,1.27705,0.95503,0.98061,0.04672,0.96875,0.90313,0.56344,1.34976,2.66735,0.96203,0.00101902,0.00101902,0.00101902
5,118.228,1.23516,0.90006,0.98307,0.98256,0.94531,0.99166,0.64188,1.21643,2.12195,0.91528,0.00126478,0.00126478,0.00126478
6,141.66,1.24359,0.87841,0.97988,1,0.85081,0.9943,0.58092,1.25008,1.75751,0.91975,0.00150526,0.00150526,0.00150526
7,164.949,1.16842,0.81991,0.96899,1,0.89694,0.995,0.6413,1.28345,1.63223,0.92567,0.00156798,0.00156798,0.00156798
8,189.661,1.20354,0.8092,0.96881,0.99867,1,0.995,0.64698,1.26302,0.7156,0.94334,0.00155148,0.00155148,0.00155148
9,213.408,1.15682,0.75456,0.95023,0.99896,1,0.995,0.64287,1.21866,0.70936,0.93269,0.00153497,0.00153497,0.00153497
10,236.192,1.14407,0.73766,0.95435,0.99894,1,0.995,0.66804,1.13904,0.72557,0.89826,0.00151847,0.00151847,0.00151847
11,259.688,1.12634,0.70262,0.93895,0.99962,1,0.995,0.66242,1.13046,0.73844,0.89533,0.00150197,0.00150197,0.00150197
12,282.213,1.10726,0.70329,0.94672,0.99936,1,0.995,0.64778,1.15599,0.74513,0.90417,0.00148546,0.00148546,0.00148546
13,306.359,1.10903,0.68597,0.95101,0.99921,1,0.995,0.64306,1.19738,0.67883,0.91632,0.00146896,0.00146896,0.00146896
14,329.453,1.06346,0.66024,0.91729,0.99903,1,0.995,0.63371,1.24596,0.7013,0.92447,0.00145246,0.00145246,0.00145246
15,353.247,1.06957,0.64868,0.93799,0.99784,1,0.995,0.66238,1.15928,0.61867,0.8988,0.00143595,0.00143595,0.00143595
16,378.028,1.06503,0.63369,0.92756,0.99929,1,0.995,0.67661,1.12326,0.63138,0.89239,0.00141945,0.00141945,0.00141945
17,402.642,1.06591,0.62453,0.93267,0.99917,1,0.995,0.65673,1.17936,0.69991,0.91115,0.00140295,0.00140295,0.00140295
18,426.97,1.06836,0.61762,0.94363,0.99872,1,0.995,0.65937,1.17083,0.5941,0.91223,0.00138644,0.00138644,0.00138644
19,450.415,1.02641,0.60553,0.9277,1,0.99984,0.995,0.68158,1.10858,0.57262,0.88427,0.00136994,0.00136994,0.00136994
20,475.446,1.03389,0.58241,0.9265,1,0.99836,0.995,0.68061,1.13617,0.59788,0.89632,0.00135344,0.00135344,0.00135344
21,499.361,1.05831,0.57549,0.92953,0.99902,1,0.995,0.64628,1.2879,0.62324,0.92801,0.00133693,0.00133693,0.00133693
22,522.339,1.04977,0.58694,0.93269,0.99927,1,0.995,0.67838,1.13246,0.55734,0.89214,0.00132043,0.00132043,0.00132043
23,544.782,1.03953,0.56559,0.9305,0.99817,1,0.995,0.67447,1.17457,0.57926,0.89857,0.00130393,0.00130393,0.00130393
24,567.316,1.02704,0.56019,0.91461,0.99914,1,0.995,0.65277,1.27206,0.59571,0.93908,0.00128742,0.00128742,0.00128742
25,590.198,1.08955,0.58615,0.94048,0.99896,1,0.995,0.70579,1.07397,0.55379,0.8911,0.00127092,0.00127092,0.00127092
26,612.869,1.0279,0.5638,0.91551,0.99923,1,0.995,0.6992,1.04086,0.54295,0.87905,0.00125442,0.00125442,0.00125442
27,636.207,1.03677,0.56524,0.91703,0.99952,1,0.995,0.69161,1.09509,0.57415,0.89097,0.00123791,0.00123791,0.00123791
28,698.457,1.04001,0.58335,0.92119,0.99956,1,0.995,0.69044,1.11375,0.57568,0.89946,0.00122141,0.00122141,0.00122141
29,795.345,1.01508,0.57413,0.92793,0.99957,1,0.995,0.6914,1.07515,0.63529,0.8872,0.00120491,0.00120491,0.00120491
30,861.725,1.00987,0.53953,0.91056,0.99956,1,0.995,0.69052,1.06212,0.57162,0.8792,0.0011884,0.0011884,0.0011884
31,954.575,0.98468,0.53046,0.9014,0.99968,1,0.995,0.68453,1.11804,0.54552,0.89145,0.0011719,0.0011719,0.0011719
32,1038.49,1.01829,0.52976,0.90635,0.99911,0.99219,0.995,0.69732,1.08435,0.53991,0.89396,0.0011554,0.0011554,0.0011554
33,1121.68,1.01775,0.53805,0.91411,1,0.99954,0.995,0.6934,1.12865,0.52922,0.89355,0.00113889,0.00113889,0.00113889
34,1213.87,1.03558,0.52825,0.91331,1,0.99964,0.995,0.68563,1.15981,0.54612,0.90892,0.00112239,0.00112239,0.00112239
