epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4501,1.37617,2.59121,1.01357,1,0.09475,0.29997,0.20837,1.21053,2.94811,1.00748,0.00035725,0.00035725,0.00035725
2,81.1635,1.20195,1.16447,0.95543,0.01369,0.65216,0.60119,0.30123,1.07611,2.92053,0.96988,0.000721575,0.000721575,0.000721575
3,122.618,1.11854,0.99687,0.94559,1,0.08606,0.65937,0.41258,1.07813,2.74875,0.98033,0.00107854,0.00107854,0.00107854
4,162.812,1.10432,0.94403,0.94158,0.83054,0.53314,0.54846,0.34602,1.02385,1.08797,0.97246,0.00138656,0.00138656,0.00138656
5,202.269,1.09411,0.8721,0.92686,0.91308,0.59757,0.63515,0.38926,1.04877,1.01189,0.98174,0.00137241,0.00137241,0.00137241
6,241.101,1.06551,0.84633,0.92614,0.98869,0.65771,0.69022,0.43507,1.02304,0.86187,0.97427,0.00135826,0.00135826,0.00135826
7,281.57,1.01044,0.75155,0.91084,0.86899,0.7173,0.73847,0.46277,0.91229,0.7428,0.93895,0.00134412,0.00134412,0.00134412
8,325.411,1.01454,0.73966,0.91129,0.91264,0.73103,0.7625,0.46665,0.92312,0.74707,0.93786,0.00132997,0.00132997,0.00132997
9,365.523,1.02175,0.71544,0.90933,0.8804,0.74014,0.75336,0.46433,0.91499,0.71547,0.93669,0.00131582,0.00131582,0.00131582
10,406.677,1.01148,0.68025,0.9112,0.90649,0.71219,0.76236,0.47493,0.94715,0.69824,0.93656,0.00130168,0.00130168,0.00130168
11,447.833,1.03788,0.65908,0.91569,0.83533,0.7576,0.78152,0.49618,0.90919,0.6963,0.93092,0.00128753,0.00128753,0.00128753
12,489.057,0.98272,0.63199,0.90291,0.95605,0.789,0.79611,0.51413,0.89451,0.68327,0.92784,0.00127338,0.00127338,0.00127338
13,532.146,0.99402,0.63309,0.90411,0.87888,0.78513,0.78454,0.4967,0.91925,0.64632,0.93526,0.00125923,0.00125923,0.00125923
14,574.372,0.95459,0.6104,0.89484,0.84128,0.78581,0.79632,0.50432,0.94545,0.66116,0.93551,0.00124509,0.00124509,0.00124509
